,GPU,NEWUSPrice,AVG1080pFPS,AVG1440pFPS,AVG4kFPS,Newegg_New_Price,Ebay_Used_Price
92,GTX 1650 Max-Q,1239.0,39.0,28.5,17.0,,
102,GTX 780M,1162.0,39.0,28.1,17.1,,
103,GTX 780M,1162.0,39.0,28.1,17.1,,
98,R9 280,350.0,38.6,28.3,16.1,,
100,GTX 960,89.0,38.0,27.5,16.3,,
99,RX 470 Mobile,1203.0,37.0,27.3,16.2,,
104,GTX 760,320.0,36.9,27.3,14.9,,
101,GTX 1050 Ti Mobile,876.0,33.4,24.5,14.5,,
105,GTX 1050,129.0,33.3,24.1,14.1,,
106,R9 270,275.0,32.8,21.9,13.7,,
108,RX 560,99.0,30.5,21.9,12.9,,
107,GTX 950,89.0,30.0,21.4,13.2,,
